filename,class_name,disease_name,is_healthy,condition,width,height,aspect_ratio,total_pixels,file_size_bytes,file_size_kb,color_mode,file_format,file_extension,file_hash,is_valid_image_ext,is_corrupt,file_size_category,resolution_category
20056.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,16242,15.86,RGB,JPEG,.jpg,8f987f759dd578e06f439cf30afb6970,True,False,Medium (15-20KB),Low (<100K px)
20058.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,12718,12.42,RGB,JPEG,.jpg,e4758b9663b7819c5db12ccd6a007c6b,True,False,Small (10-15KB),Low (<100K px)
20062.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,23297,22.75,RGB,JPEG,.jpg,5f0c5d0fab73bfd82432c3d9e88ed5b1,True,False,Large (20-30KB),Low (<100K px)
20068.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,12047,11.76,RGB,JPEG,.jpg,84447afe28da0be5a14e98aa1fe8df47,True,False,Small (10-15KB),Low (<100K px)
20071.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,14332,14.0,RGB,JPEG,.jpg,7791e460723b1054c3e01a74b661096c,True,False,Small (10-15KB),Low (<100K px)
20082.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,27925,27.27,RGB,JPEG,.jpg,c36c0b7210fa174b64e33c260b2f19b8,True,False,Large (20-30KB),Low (<100K px)
20085.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,8846,8.64,RGB,JPEG,.jpg,23c88a75b4a07fc6dabe0101a640e55d,True,False,Very Small (<10KB),Low (<100K px)
20089.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,20667,20.18,RGB,JPEG,.jpg,b96b8e933ad20cc9eb5960be11e22c0b,True,False,Large (20-30KB),Low (<100K px)
20091.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,19701,19.24,RGB,JPEG,.jpg,622930ef3148611e03956ad5e329e47b,True,False,Medium (15-20KB),Low (<100K px)
20093.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,15290,14.93,RGB,JPEG,.jpg,eb44819da5556435a09cb52851044dd5,True,False,Small (10-15KB),Low (<100K px)
20095.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,20572,20.09,RGB,JPEG,.jpg,bd7b8895f626a041694faf597917fecd,True,False,Large (20-30KB),Low (<100K px)
20098.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,21003,20.51,RGB,JPEG,.jpg,d7bb565beb6d9e6f87308b25f7ee6b11,True,False,Large (20-30KB),Low (<100K px)
20100.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,14106,13.78,RGB,JPEG,.jpg,9d2842d666da3a875da4ec41ab56d1b3,True,False,Small (10-15KB),Low (<100K px)
20107.jpg,Non_tomato,Non Tomato,False,Non Tomato,150,150,1.0,22500,13468,13.15,RGB,JPEG,.jpg,b7e9dcab84788ed2d832a677ad273d03,True,False,Small (10-15KB),Low (<100K px)
